Time,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2015-01-02,27.3325,159.89,15.426,93.02,129.95,91.88,59.24,27.61,112.58,93.75,194.41,103.43,94.5566,162.06,104.52,62.49,42.14,93.26,136.7167,57.19,46.76,47.515,0.5033,90.44,87.48,105.44,100.78,66.255,46.96,28.6333
2015-01-05,26.5625,157.99,15.1095,90.56,129.05,87.03,58.17,27.06,108.08,92.38,188.34,101.26,92.7547,159.51,103.79,60.55,42.14,92.23,133.6333,58.04,46.33,46.75,0.4948,90.01,87.22,104.17,99.12,64.7925,46.57,28.55
2015-01-06,26.565,152.9,14.7645,88.63,127.53,86.47,57.2,27.05,108.03,91.89,184.53,100.95,92.5377,156.07,103.28,58.98,42.46,92.4,132.2083,60.32,45.65,46.475,0.4798,89.6,86.9567,103.24,98.92,64.375,47.04,28.77
2015-01-07,26.9375,158.24,14.921,90.3,129.51,87.81,56.93,27.3,107.94,92.83,187.28,104.41,93.2076,155.05,105.56,59.07,42.99,94.01,133.1667,61.61,46.23,47.435,0.4785,90.07,88.44,105.0,99.93,65.2375,46.19,29.5333
2015-01-08,27.9725,157.67,15.023,91.58,131.8,88.71,58.59,27.51,110.41,93.79,190.27,106.72,94.9057,158.42,106.39,60.39,43.51,94.36,136.3583,62.85,47.59,48.53,0.4965,91.1,90.86,107.18,104.7,66.1125,47.18,30.1567
2015-01-09,28.0025,155.73,14.8465,90.42,131.54,87.65,58.16,27.79,108.21,94.25,187.35,104.89,93.3302,159.11,104.94,59.34,43.03,93.21,134.6833,62.56,47.19,47.995,0.4985,90.25,91.4733,105.83,103.72,65.1325,46.76,29.7833
2015-01-12,27.3125,156.22,14.5705,89.5,130.87,86.89,57.73,28.05,105.88,94.46,185.07,104.42,92.8774,156.44,104.58,58.83,42.64,93.01,133.95,62.3,46.6,47.93,0.4923,89.92,90.3667,105.2,102.55,65.005,47.08,30.0067
2015-01-13,27.555,155.14,14.737,89.23,131.17,86.37,57.97,28.09,104.2,95.19,184.93,103.73,93.5377,156.81,104.76,58.84,42.63,92.83,133.85,62.19,46.35,47.505,0.4915,90.3,89.7133,105.36,103.07,65.195,47.18,29.77
2015-01-14,27.45,155.16,14.6635,87.07,130.38,86.07,57.25,27.92,103.9,94.23,180.23,102.64,93.1038,155.8,104.0,56.81,42.56,91.54,133.2,62.64,45.96,46.855,0.4935,89.99,89.74,103.77,103.33,63.89,46.97,28.87
2015-01-15,26.705,151.92,14.3475,85.88,130.14,84.32,55.11,27.41,102.67,94.35,178.49,101.01,91.6132,154.57,102.49,54.99,42.38,91.38,133.05,61.88,45.48,46.405,0.49,89.86,90.1967,104.21,104.46,63.2825,47.1,29.1267
2015-01-16,26.4975,158.43,14.537,86.04,130.78,83.86,56.64,27.68,105.12,95.18,177.23,104.12,92.6604,157.14,104.04,55.93,42.53,91.49,135.0,63.03,46.24,46.495,0.499,91.25,91.2733,106.54,105.77,63.7375,47.99,28.9233
2015-01-20,27.18,157.6,14.472,87.26,131.22,83.97,57.29,28.07,106.47,94.74,175.63,103.25,93.3774,156.95,101.29,55.71,43.16,90.8,134.95,62.61,46.39,46.805,0.5005,91.19,90.8367,105.84,105.62,64.21,48.18,28.8967
2015-01-21,27.3875,157.38,14.8625,87.67,132.41,85.37,57.71,27.84,108.16,94.17,177.15,103.53,93.6321,152.09,101.9,55.89,43.36,90.34,135.45,62.16,45.92,46.755,0.5075,90.73,91.0733,105.01,109.32,64.32,48.25,28.88
2015-01-22,28.1,159.57,15.516,84.37,135.64,86.82,58.0,28.5,108.92,95.15,182.04,106.07,93.7642,155.39,103.76,57.59,43.78,90.89,138.2417,62.59,47.13,47.925,0.5163,91.62,92.37,108.17,113.85,64.4,47.8,29.4333
2015-01-23,28.245,159.81,15.6195,84.13,134.62,85.61,58.62,28.21,106.85,94.72,180.49,105.37,96.6981,155.87,102.2,56.68,43.31,89.56,136.6833,62.49,47.18,48.08,0.5177,90.08,91.3367,107.0,112.0,64.5725,47.15,29.5033
