Date,AAPL,IBM
31/12/1999,0.7716,53.6409
3/1/2000,0.8402,57.6784
4/1/2000,0.7694,55.7194
5/1/2000,0.7806,57.6784
6/1/2000,0.713,56.684
7/1/2000,0.7468,56.4354
10/1/2000,0.7337,58.6729
11/1/2000,0.6961,59.1701
12/1/2000,0.6544,59.4187
13/1/2000,0.7261,58.7972
14/1/2000,0.7539,59.4834
18/1/2000,0.7801,57.5541
19/1/2000,0.7998,59.4187
20/1/2000,0.8519,59.1701
21/1/2000,0.8354,60.4132
24/1/2000,0.7975,60.4132
25/1/2000,0.8425,59.2348
26/1/2000,0.827,58.0513
27/1/2000,0.8256,56.4354
28/1/2000,0.7628,55.4707
31/1/2000,0.7787,55.8138
1/2/2000,0.7525,54.6951
2/2/2000,0.7416,56.4354
3/2/2000,0.7754,58.2403
4/2/2000,0.8106,57.4945
7/2/2000,0.8561,56.7486
8/2/2000,0.8622,59.1378
9/2/2000,0.8453,58.426
10/2/2000,0.8519,59.2971
11/2/2000,0.8163,57.4305
14/2/2000,0.8692,57.769
15/2/2000,0.8932,58.3016
16/2/2000,0.8566,57.6147
17/2/2000,0.8622,58.1125
18/2/2000,0.835,55.997
22/2/2000,0.8543,55.2504
23/2/2000,0.8725,54.1304
24/2/2000,0.8646,55.0015
25/2/2000,0.8284,53.7571
28/2/2000,0.8501,52.015
29/2/2000,0.8604,51.1439
1/3/2000,0.9781,49.8996
2/3/2000,0.9157,51.3331
3/3/2000,0.9608,53.7571
6/3/2000,0.9434,51.2982
7/3/2000,0.9223,51.2684
8/3/2000,0.9157,52.8861
9/3/2000,0.9176,53.7571
10/3/2000,0.9439,52.3883
13/3/2000,0.9105,53.6028
14/3/2000,0.8575,54.0707
15/3/2000,0.8725,53.2594
16/3/2000,0.9124,54.2549
17/3/2000,0.9382,54.7526
20/3/2000,0.9232,56.1214
21/3/2000,1.0128,56.4948
22/3/2000,1.0822,56.8681
23/3/2000,1.0606,57.3658
24/3/2000,1.041,60.0437
27/3/2000,1.0475,63.1547
28/3/2000,1.0442,60.9745
29/3/2000,1.0203,59.2324
30/3/2000,0.9439,61.099
31/3/2000,1.0194,58.9238
3/4/2000,1.0006,60.7256
4/4/2000,0.9556,60.3225
5/4/2000,0.9786,62.2189
6/4/2000,0.9397,61.099
7/4/2000,0.9888,61.2881
10/4/2000,0.9382,60.7904
11/4/2000,0.8965,59.4215
12/4/2000,0.82,56.6192
13/4/2000,0.8543,55.0662
14/4/2000,0.8397,52.2639
17/4/2000,0.9298,55.6884
18/4/2000,0.9524,55.4993
19/4/2000,0.9091,52.2639
20/4/2000,0.8923,51.7661
24/4/2000,0.9044,53.0105
25/4/2000,0.963,55.997
26/4/2000,0.9105,55.0015
27/4/2000,0.9513,55.0662
28/4/2000,0.9312,55.4993
1/5/2000,0.933,55.7481
2/5/2000,0.8848,55.4395
3/5/2000,0.8636,53.8218
4/5/2000,0.8308,53.573
5/5/2000,0.8491,53.6974
8/5/2000,0.8266,54.6941
9/5/2000,0.7914,54.3203
10/5/2000,0.7454,51.3302
11/5/2000,0.7716,52.0479
12/5/2000,0.8079,52.0479
15/5/2000,0.7581,51.9233
16/5/2000,0.7933,54.3203
17/5/2000,0.7609,53.7622
18/5/2000,0.7562,52.8552
19/5/2000,0.7055,53.0446
22/5/2000,0.675,54.4449
23/5/2000,0.6441,53.513
24/5/2000,0.6581,54.6343
25/5/2000,0.6549,53.0745
26/5/2000,0.6483,53.2937
30/5/2000,0.6572,55.2871
31/5/2000,0.6305,53.513
1/6/2000,0.669,52.8253
2/6/2000,0.6947,54.2257
5/6/2000,0.6854,56.2191
6/6/2000,0.6971,56.0048
7/6/2000,0.7247,60.3006
8/6/2000,0.7116,59.6776
9/6/2000,0.7187,59.6477
12/6/2000,0.6844,59.2092
13/6/2000,0.7092,59.4583
14/6/2000,0.6788,57.8088
15/6/2000,0.6934,58.2125
16/6/2000,0.6844,56.4383
19/6/2000,0.7253,59.9916
20/6/2000,0.7599,57.9982
21/6/2000,0.8351,57.0613
22/6/2000,0.8068,55.7207
23/6/2000,0.7759,55.7556
26/6/2000,0.8126,57.0164
27/6/2000,0.7768,54.6941
28/6/2000,0.8172,56.7025
29/6/2000,0.7694,56.8121
30/6/2000,0.7863,54.5994
3/7/2000,0.8003,54.5695
5/7/2000,0.7751,52.3269
6/7/2000,0.7778,50.4581
7/7/2000,0.8172,52.3568
10/7/2000,0.8576,51.4847
11/7/2000,0.8548,50.8319
12/7/2000,0.8838,52.1425
13/7/2000,0.8481,51.8286
14/7/2000,0.866,51.7987
17/7/2000,0.8753,52.5761
18/7/2000,0.8594,51.4847
19/7/2000,0.791,54.1958
20/7/2000,0.8276,58.4317
21/7/2000,0.804,57.1859
24/7/2000,0.7309,56.0646
25/7/2000,0.7514,55.8154
26/7/2000,0.7514,54.7589
27/7/2000,0.7806,54.9732
28/7/2000,0.7252,55.7207
31/7/2000,0.7627,55.94
1/8/2000,0.7402,55.0679
2/8/2000,0.7092,56.9367
3/8/2000,0.7205,57.8088
4/8/2000,0.7113,57.749
7/8/2000,0.7197,57.9633
8/8/2000,0.7018,59.3103
9/8/2000,0.713,59.2455
10/8/2000,0.714,59.7444
11/8/2000,0.7159,60.1834
14/8/2000,0.7065,61.4906
15/8/2000,0.7008,60.8669
16/8/2000,0.7281,61.0565
17/8/2000,0.7722,61.1164
18/8/2000,0.7506,60.0886
21/8/2000,0.7581,60.5876
22/8/2000,0.7759,60.5576
23/8/2000,0.8152,61.4906
24/8/2000,0.842,62.2689
25/8/2000,0.8528,64.3593
28/8/2000,0.8716,65.6066
29/8/2000,0.8886,66.2951
30/8/2000,0.8932,65.0129
31/8/2000,0.9148,65.871
1/9/2000,0.9524,66.6693
5/9/2000,0.9373,65.4519
6/9/2000,0.8773,65.5766
7/9/2000,0.9307,66.5246
