Portfolio,Asset1,Asset2,Asset3,Asset4
8.773,3.9543,-15.9787,-5.3125,26.11
-7.2013,8.4499,1.4312,-16.5658,-0.5166
11.9202,-4.3256,-8.82,9.1504,15.9154
11.7202,-13.0794,-2.5536,21.1534,6.1997
17.7754,-29.0296,-8.7228,39.7568,15.771
14.2014,-8.9337,-9.484,15.7226,16.8965
12.2748,-24.1619,-0.2014,34.3424,2.2958
10.1661,-32.5216,3.6704,43.55,-4.5327
7.3307,-48.7747,7.5542,60.5871,-12.0359
0.3785,-6.06,8.2954,11.7055,-13.5624
-1.6139,-3.3223,8.8787,7.6183,-14.7886
-7.3407,5.2697,7.4914,-8.1937,-11.9081
-12.7919,8.5422,7.5542,-16.8524,-12.0359
-11.6056,9.7061,3.252,-20.7966,-3.767
-6.4444,4.6818,7.3303,-6.8751,-11.5814
1.342,-9.8959,8.7619,17.0171,-14.5412
4.4533,-1.9296,1.3603,5.4152,-0.3926
5.1597,-1.7505,0.2382,5.1247,1.5473
10.0385,-3.1671,-6.3274,7.3774,12.1556
11.4281,-9.3183,-3.9658,16.2429,8.4694
13.628,-17.7642,-3.9206,26.9152,8.3976
18.0704,-32.2914,-8.7468,43.3019,15.8067
13.5381,-25.5579,-1.8259,35.9127,5.0093
9.8954,-16.9399,1.4366,25.9247,-0.526
2.4112,-2.907,4.5908,6.9711,-6.2437
-0.6827,1.497,4.636,-0.4869,-6.3288
-6.5026,-0.336,11.3647,2.7666,-20.2979
-2.0848,-1.8509,8.529,5.2877,-14.0506
-12.0729,4.4589,12.2533,-6.3885,-22.3965
-5.2939,-4.6181,12.3397,9.5893,-22.6048
-13.0796,2.4804,14.2764,-2.3447,-27.4917
-9.53,-13.7607,16.7644,22.013,-34.5467
-5.5235,-9.1224,13.7567,15.9783,-26.1361
1.4528,-17.4047,10.3396,26.4843,-17.9665
0.8026,-20.433,11.2858,30.0651,-20.1153
0.2178,-10.968,10.0289,18.4339,-17.2771
4.2604,-5.8947,4.1989,11.4667,-5.5105
5.1035,-7.8216,4.1522,14.1965,-5.4236
8.3439,-22.3581,4.5164,32.2895,-6.1039
11.0515,-9.4757,-3.2451,16.4546,7.3176
7.24,1.6555,-7.3534,-0.7806,13.7184
-7.0964,10.7384,-8.972,-25.0035,16.1406
7.1899,1.6845,-7.3045,-0.8346,13.6445
1.5295,4.0184,-1.4807,-5.4475,4.4393
7.9578,3.7849,-13.4074,-4.9588,22.5391
18.0664,-14.3296,-14.7662,22.7246,24.4375
18.6992,-31.1885,-10.2713,42.1096,18.0495
17.5267,-25.7176,-8.9394,36.0913,16.0923
20.9582,-15.2169,-22.6786,23.8239,35.0298
24.2137,-24.6086,-28.7418,34.8466,42.7176
22.7366,-38.9849,-19.3094,50.4232,30.6077
21.0199,-28.5504,-16.545,39.2309,26.8844
15.6354,-3.5667,-19.0334,7.9955,30.24
15.679,-12.2097,-10.4176,20.0438,18.2625
15.9719,-11.7227,-11.3882,19.4162,19.6666
1.3624,7.2404,-9.0403,-13.0795,16.2418
-2.9678,10.0661,-13.4191,-22.1703,22.5556
-8.3709,11.0362,-8.6079,-26.3994,15.6003
-1.7627,6.683,-1.801,-11.6129,4.9682
-16.5729,10.549,6.0174,-24.165,-8.9743
-22.2077,12.1385,4.5173,-32.7579,-6.1056
-35.8566,13.3542,6.8296,-45.4645,-10.5759
-22.8581,10.0185,12.7766,-21.9838,-23.6695
-40.7602,13.0335,14.1255,-40.8247,-27.0945
-16.6939,8.3917,11.1859,-16.3867,-19.8848
-7.4175,1.6528,10.8725,-0.7755,-19.1673
-28.4328,8.4115,17.9583,-16.4475,-38.3551
-24.163,6.7098,17.4263,-11.6818,-36.6173
-26.6854,9.4213,16.0376,-19.7676,-32.3767
-4.3944,-2.3697,10.7558,6.1218,-18.9022
-4.7734,-0.8377,10.279,3.6166,-17.8313
8.6675,-26.6067,4.7668,37.0826,-6.5752
9.9343,-12.8378,0.04,20.8466,1.8854
16.0684,-16.7806,-8.8643,25.7322,15.9811
-4.0086,6.5241,1.7471,-11.2084,-1.0714
-13.8008,9.9176,5.1203,-21.593,-7.2457
-6.904,9.4718,-2.4336,-19.9466,6.0045
-0.0079,6.5257,-4.2649,-11.2122,8.9435
-6.2733,9.4649,-3.4294,-19.9223,7.6134
-30.2915,13.0694,5.0847,-41.2678,-7.1779
-35.4246,13.1257,9.4448,-41.994,-16.0011
-35.5459,13.2491,8.0918,-43.7472,-13.1396
-24.8186,11.8192,8.9348,-30.6648,-14.9077
-36.9835,13.2269,9.6502,-43.4138,-16.4469
-14.4529,10.4991,3.8369,-23.9495,-4.8394
-15.2547,11.2641,1.2876,-27.5409,-0.2655
-11.3553,9.7057,2.9461,-20.7952,-3.2119
-26.4114,12.8881,2.7813,-39.1666,-2.9143
-28.6462,13.1612,1.7589,-42.474,-1.0922
-30.3221,13.2059,3.1397,-43.1049,-3.5627
-9.0045,11.1823,-8.494,-27.1234,15.4307
-19.5129,12.441,-1.6555,-35.0266,4.7283
-28.9125,13.3703,-2.2702,-45.7504,5.7379
-12.0096,11.8448,-8.5607,-30.8237,15.53
-34.4878,13.4618,3.1397,-47.5266,-3.5627
-17.3253,11.3464,3.4768,-27.971,-4.1775
-6.0307,9.1517,-2.5635,-18.8347,6.2158
4.5338,4.5553,-7.7696,-6.5981,14.3463
8.1853,-3.2991,-2.9662,7.5824,6.8682
20.7224,-19.506,-19.158,28.9802,30.4061
16.5706,-11.2689,-13.1161,18.827,22.1286
19.4306,-14.1987,-18.621,22.5614,29.689
16.2681,-6.8933,-16.3429,12.8959,26.6085
15.2295,-10.8843,-10.2964,18.3242,18.086
15.4489,-10.4413,-11.0947,17.7412,19.2437
14.2594,-3.8612,-14.773,8.4466,24.447
4.5861,3.0351,-4.7968,-3.4337,9.7814
13.3235,-7.3092,-8.9351,13.4818,16.0861
12.5394,-12.851,-4.0055,20.8634,8.5324
5.3736,-24.994,7.965,35.2802,-12.8776
