rank | sharpe | calmar |  max_dd  |   cagr  | rebal |  tf | vol_w eta_w lsi_w | vol_reg_thr | risk_mult | lsi_thr lsi_slp
   1 |  2.897 |  7.152 |   -5.34% |  38.18% |    74 |  4h |  240   47  454 | (0.29, 0.48, 1.13) | (0.79, 0.76, 0.0, 0.0) |  3.03  0.022
   2 |  2.736 | 10.906 |   -2.61% |  28.44% |    48 |  4h |  240   47  454 | (0.37, 0.42, 1.05) | (0.79, 0.76, 0.0, 0.0) |  3.67  0.022
   3 |  2.716 | 10.365 |   -2.53% |  26.18% |    44 |  4h |  240   47  472 | (0.37, 0.42, 1.05) | (0.71, 0.71, 0.0, 0.0) |  3.67  0.022
   4 |  2.189 |  7.073 |   -2.42% |  17.09% |    33 |  4h |  180   47  513 | (0.32, 0.41, 0.97) | (0.78, 0.67, 0.0, 0.0) |  3.81  0.299
   5 |  1.446 |  4.340 |   -1.47% |   6.39% |   116 |  1h |  193   47  292 | (0.37, 0.42, 1.05) | (0.78, 0.67, 0.0, 0.0) |  1.35  0.206
   6 |  1.019 |  2.932 |   -1.47% |   4.31% |    26 |  4h |   81   47  315 | (0.37, 0.42, 1.05) | (0.82, 0.76, 0.06, 0.0) |  3.67  0.232
   7 |  0.771 |  1.304 |   -1.45% |   1.90% |    27 |  4h |   52   47  315 | (0.37, 0.42, 1.05) | (0.82, 0.76, 0.06, 0.0) |  3.67  0.152
   8 |  0.664 |  1.440 |   -0.65% |   0.94% |    24 |  1h |  202  147  238 | (0.17, 0.36, 1.97) | (0.89, 0.58, 0.28, 0.28) |  2.03  0.374
   9 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  1d |  187  147  465 | (0.17, 0.36, 1.97) | (0.83, 0.65, 0.24, 0.24) |  2.39  0.374
  10 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  1h |  113  213  131 | (0.41, 0.95, 1.19) | (0.9, 0.56, 0.39, 0.22) |  3.65  0.254
  11 |  0.000 |  0.000 |    0.00% |   0.00% |     0 | 12h |   57  213  153 | (0.29, 0.68, 0.99) | (0.83, 0.55, 0.29, 0.21) |  1.85  0.159
  12 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  4h |   57  240  150 | (0.37, 0.42, 1.05) | (0.84, 0.51, 0.28, 0.26) |  1.37  0.197
  13 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  4h |  193  211  253 | (0.51, 0.73, 2.13) | (0.87, 0.37, 0.18, 0.11) |  0.64  0.436
  14 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  1d |   86  126  333 | (0.18, 0.36, 0.49) | (0.99, 0.89, 0.38, 0.1) |  3.15  0.446
  15 |  0.000 |  0.000 |    0.00% |   0.00% |     0 | 12h |   57  213  108 | (0.29, 0.68, 0.99) | (0.84, 0.51, 0.28, 0.26) |  1.85  0.197
  16 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  1h |  174  147  238 | (0.17, 0.36, 1.97) | (0.89, 0.58, 0.28, 0.28) |  2.03  0.374
  17 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  4h |  187  179  557 | (0.37, 0.52, 1.84) | (0.86, 0.68, 0.66, 0.61) |  3.81  0.083
  18 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  4h |  187  147  581 | (0.37, 0.52, 1.84) | (0.77, 0.46, 0.37, 0.07) |  2.39  0.083
  19 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  1d |  146  182  315 | (0.55, 0.63, 1.83) | (0.86, 0.44, 0.44, 0.17) |  3.40  0.473
  20 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  4h |  193  211  253 | (0.48, 0.64, 1.45) | (0.87, 0.37, 0.18, 0.11) |  2.00  0.290
  21 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  4h |   76  207  634 | (0.37, 0.52, 1.84) | (0.86, 0.68, 0.66, 0.61) |  3.81  0.083
  22 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  4h |   89  213  719 | (0.37, 0.52, 1.84) | (0.76, 0.39, 0.39, 0.09) |  1.85  0.083
  23 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  4h |   43  240  719 | (0.37, 0.52, 1.84) | (0.77, 0.46, 0.37, 0.07) |  3.81  0.083
  24 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  1h |   43  213  108 | (0.18, 0.89, 1.87) | (0.84, 0.51, 0.28, 0.26) |  1.85  0.298
  25 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  4h |  194  157  333 | (0.25, 0.44, 0.5) | (0.99, 0.85, 0.43, 0.05) |  3.03  0.360
  26 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  4h |   41  207  557 | (0.37, 0.52, 1.84) | (0.86, 0.68, 0.66, 0.61) |  3.81  0.083
  27 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  4h |  202   99  468 | (0.32, 0.8, 1.05) | (0.88, 0.51, 0.11, 0.01) |  1.29  0.169
  28 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  1d |   50  165  312 | (0.14, 0.85, 1.8) | (0.9, 0.56, 0.15, 0.02) |  1.61  0.130
  29 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  1d |  195  182  330 | (0.55, 0.63, 1.83) | (0.8, 0.45, 0.44, 0.07) |  3.40  0.022
  30 |  0.000 |  0.000 |    0.00% |   0.00% |     0 |  4h |   73  194  315 | (0.38, 1.1, 2.46) | (0.77, 0.46, 0.37, 0.07) |  3.12  0.463
